property_name,address,borough,property_type,sqft,classification,has_steam_cooling,has_electric_cooling,has_monthly_data,steam_intensity,heating_baseline,steam_ratio_vs_baseline,steam_pct_of_total,summer_elec_increase_pct,cooling_intensity_kbtu_sqft,cooling_pct_of_elec,peak_month_cooling_kw,avg_summer_cooling_kw,num_cooling_towers,district_steam_kbtu,elec_kwh,bbl,bin,latitude,longitude
Rockefeller Center (All Bldgs),Rockefeller Center,MANHATTAN,Office,8053115,BOTH,True,True,True,23.9,14.0,1.71,27.2,31.2,5.1,8.1,15882,10017,0,192813391,146871156,1012640005;1012660001;1012657501;1012640030;1012650050;1012640045,1077286;1077284;1077287;1083861;1076262;1083860;1083859;1034506;1082656;1075692;1083862;1087733;1090166;1090167,40.759268,-73.977844
30 Rockefeller Plaza (Bld 1 & 9),30 Rockefeller Plaza,MANHATTAN,Office,2911536,BOTH,True,True,True,50.8,14.0,3.64,42.5,54.7,15.9,15.4,15256,10628,1,147927109,58542481,1-01265-7501,1076262,40.758754,-73.978692
Columbia University Main Campus,116 Street,,College/University,6895156,BOTH,True,True,True,250.3,21.9,11.41,52.0,34.8,5.4,10.3,12492,9336,0,1726139572,125128611,1018670042;1018670052;1018670054;1018670064;1018670070;1018670074;1018850037;1018850040;1018850043;1018850061;1018857501;1018860001;1018950032;1018960057;1019610001;1019610037;1019610039;1019610057;1019730001;1019900022;1019900025;1019900029;1019900044;1019900050,1085710;1056050;1056051;1056054;1056057;1056058;1057033;1057034;1057035;1057049;1057018;1082166;1082165;1082692;1082160;1083301;1084845;1084846;1082163;1082164;1057343;1075443;1809321;1083610;1076680;1083609;1059496;1059497;1059498;1084463;1084476;1082159;1084477;1084472;1084474;1084475;1084460;1084469;1084467;1084459;1084465;1084458;1084468;1084473;1084461;1084464;1084471;1084466;1084470;1059821;1059822;1059823;1059827;1059828,,
Havemeyer Hall,3000 Broadway,MANHATTAN,College/University,126673,BOTH,True,True,True,72.6,21.9,3.31,12.7,91.1,287.1,24.3,11377,9066,1,9193106,2497922,1019730001,1084468,40.808963,-73.963186
P&S - Black LL97,"630, 650 W 168th Street",,Laboratory,721049,BOTH,True,True,True,167.7,89.9,1.86,16.4,86.3,36.8,23.7,8076,6578,1,120945149,32899071,1021380040,1084389,,
NH LHH 112 East 77 St 1082183,112 East 77 Street,MANHATTAN,Hospital (General Medical & Surgical),103019,BOTH,True,True,True,1248.6,114.1,10.95,60.3,76.8,167.9,20.7,5635,4345,2,128626713,24493358,1014110001,1082183,40.773999,-73.960725
LCPA - MET/CMP,60 Columbus Ave,MANHATTAN,Performing Arts,896458,BOTH,True,True,True,162.4,13.7,11.86,84.5,51.1,20.6,15.6,5625,4131,0,145572405,7848808,1-01134-0001,1081022,40.771277,-73.983299
1221 Avenue of the Americas,1221 Avenue of the Americas,MANHATTAN,Office,2636182,BOTH,True,True,True,28.1,14.0,2.01,36.1,41.0,5.1,11.0,4985,3346,1,74156191,36567156,1-01001-0029,1022693,40.759101,-73.982136
ESRT - Empire State Building,338 5 AVENUE,MANHATTAN,Office,2852257,BOTH,True,True,True,22.6,14.0,1.62,36.8,44.6,4.5,12.1,4567,3426,1,64363489,30849800,1008350041,1015862,40.747878,-73.984979
1271 Avenue of the Americas,1271 Avenue of the Americas,MANHATTAN,Office,1962900,BOTH,True,True,True,23.6,14.0,1.69,30.8,50.1,6.0,12.6,4563,2984,1,46331309,27739585,1-01003-0029,1022709,40.760289,-73.980157
BARUCH/BARUCH HOUSES ADDITION,605 FDR DRIVE,MANHATTAN,Multifamily Housing,2135564,BOTH,True,True,True,60.8,30.8,1.98,67.5,82.9,4.2,16.0,4294,2703,0,129939886,16283353,1003230001,1078027;1078028;1078029;1078030;1078031;1083421;1078032;1078033;1078034;1078035;1078036;1078037;1078038;1078039;1078040;1078041;1078042;1087112;1078043,40.718356,-73.97521
New York Hilton Midtown (NYCNH),1335 Avenue of the Americas,MANHATTAN,Hotel,1440995,BOTH,True,True,True,61.0,34.6,1.76,55.3,63.1,5.5,11.8,4183,2422,1,87884462,19730960,1010067502,1023163,40.762218,-73.978742
